*****路线数目：1
*****路线1步骤数目：7
*****路线1路线长度：20817米
*****路线1步骤1关键坐标数目：14
[119.346497,25.995686]
[119.345314,25.995338]
[119.344078,25.994978]
[119.341927,25.994379]
[119.341255,25.994171]
[119.337486,25.993069]
[119.336487,25.992783]
[119.335228,25.992439]
[119.335144,25.992405]
[119.334991,25.992348]
[119.328552,25.990486]
[119.327545,25.990204]
[119.327011,25.990078]
[119.32634,25.989931]
[119.325531,25.989782]
[119.324463,25.989649]
[119.321007,25.989254]
[119.318886,25.988989]
[119.318695,25.988979]
[119.317032,25.988798]
[119.316521,25.988754]
[119.315567,25.988602]
[119.306595,25.987566]
[119.305817,25.987488]
[119.305122,25.987413]
[119.304085,25.987305]
[119.303177,25.987217]
[119.302834,25.987196]
[119.302284,25.987175]
[119.301643,25.987158]
[119.301018,25.987162]
[119.300415,25.987183]
[119.299561,25.987244]
[119.299149,25.987288]
[119.298561,25.987356]
[119.298157,25.987417]
[119.297501,25.987526]
[119.296486,25.987743]
[119.296043,25.987846]
[119.29541,25.98802]
[119.294853,25.988199]
[119.294144,25.988434]
[119.29335,25.988737]
[119.29245,25.989132]
[119.291924,25.989384]
[119.291458,25.989626]
[119.290955,25.989901]
[119.290436,25.990213]
[119.289963,25.990503]
[119.288979,25.991184]
[119.288193,25.991796]
[119.28595,25.99365]
[119.284721,25.994658]
[119.284027,25.995195]
[119.283516,25.995569]
[119.283226,25.995764]
[119.28299,25.99593]
[119.281456,25.996944]
[119.27993,25.997952]
[119.278679,25.998768]
[119.27816,25.999111]
[119.277588,25.999466]
[119.276489,26.000065]
[119.275826,26.000391]
[119.275398,26.000589]
[119.273041,26.001719]
[119.27243,26.00201]
[119.271286,26.002552]
[119.269859,26.003233]
[119.268372,26.003937]
[119.267517,26.004362]
[119.266945,26.004692]
[119.266632,26.004887]
[119.266457,26.005009]
[119.265953,26.00539]
[119.265709,26.005594]
[119.265297,26.005968]
[119.261681,26.00967]
[119.259827,26.011572]
[119.254761,26.016779]
[119.25238,26.019236]
[119.251808,26.019817]
[119.250107,26.02158]
[119.24971,26.022018]
[119.248901,26.022968]
[119.248589,26.023346]
[119.24826,26.023746]
[119.247742,26.024366]
[119.246109,26.02632]
[119.244843,26.027838]
[119.243286,26.029696]
[119.242401,26.03076]
[119.24205,26.031212]
[119.241585,26.031811]
[119.241112,26.032461]
[119.240601,26.033213]
[119.240105,26.033955]
[119.239883,26.034306]
[119.239601,26.034792]
[119.239182,26.035534]
[119.238976,26.035908]
[119.238533,26.036797]
[119.238091,26.037748]
[119.237862,26.038273]
[119.237701,26.038694]
[119.237549,26.039045]
[119.237236,26.039909]
[119.237015,26.040556]
[119.236839,26.041124]
[119.236649,26.041754]
[119.236389,26.042738]
[119.236061,26.044275]
[119.236008,26.044518]
[119.235931,26.044949]
[119.235809,26.045603]
[119.235573,26.046862]
[119.235046,26.049644]
[119.23468,26.05151]
[119.234108,26.054626]
[119.233818,26.056284]
[119.233765,26.056828]
[119.233734,26.057352]
